Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.47691023687307166,172.56061685085297,0.09760192802178513
1.0,0.31996213177001526,144.05847471952438,0.1622218743180287
2.0,0.2728718637375172,128.60089111328125,0.2661297239854639
3.0,0.24829345222857277,120.36948418617249,0.33039879308872505
4.0,0.2303140226899585,114.34483388066292,0.3850556488571347
5.0,0.21941842555190705,109.59103906154633,0.4257445940432476
6.0,0.20849490927080536,106.82805070281029,0.4543071171709696
7.0,0.20072295160847425,103.98303616046906,0.4765418006888503
8.0,0.19300937386944142,103.4612788259983,0.47825140189576154
9.0,0.18604009269693067,98.81204989552498,0.5145792415056027
10.0,0.1816074141070339,97.7911809682846,0.5182477014602488
11.0,0.1752168776691647,97.35251888632774,0.5277189187137665
12.0,0.16958872572932776,99.63499188423157,0.5117763988120653
13.0,0.1660712562482856,97.24812138080597,0.5234503240253148
14.0,0.16069581166622246,94.137430280447,0.5406777489966126
15.0,0.15709992789825925,93.65202221274376,0.5483232282978946
16.0,0.15365796677980628,91.02265864610672,0.5634835330619681
17.0,0.14980667491869015,91.17160791158676,0.5567720816373004
18.0,0.1459542133621524,93.77261620759964,0.5497690548708168
19.0,0.14230605981058764,92.28149855136871,0.5541181103109314
20.0,0.1391822233457298,89.56693315505981,0.5705778372377672
21.0,0.1361826213457593,87.10284519195557,0.5860666268158227
22.0,0.13452201886475185,87.16618683934212,0.5804617004924426
23.0,0.13146959351165732,86.53926402330399,0.5876455741842437
24.0,0.12810788375779317,85.67756417393684,0.592784720047821
25.0,0.125755283727579,84.34509086608887,0.5984132722287059
26.0,0.1234323880011781,84.52239340543747,0.594801647168218
27.0,0.12217713490873869,83.78650718927383,0.5986480126763637
28.0,0.11934813225400552,81.92778497934341,0.6079516666192253
29.0,0.11758189459214684,82.29366081953049,0.6058107274676686
